name,color,rarity,number_seen,alsa,number_picked,ata,number_gp,percent_gp,gp_wr,number_oh,oh_wr,number_gd,gd_wr,number_gih,gih_wr,number_gns,gns_wr,iwd,color_group,rarity_full
Dance of the Tumbleweeds,G,C,262191,4.31,57441,5.75,297531,0.853,0.556,51461,0.541,70917,0.584,122378,0.5660000000000001,174162,0.5489999999999999,1.7,Mono-color,Common
Drover Grizzly,G,C,302824,4.99,57520,6.93,293753,0.8420000000000001,0.556,50789,0.5489999999999999,66339,0.55,117128,0.55,174270,0.5589999999999999,-0.9,Mono-color,Common
Freestrider Commando,G,C,306172,5.03,47932,7.32,218254,0.76,0.537,37368,0.527,51021,0.532,88389,0.53,129881,0.542,-1.1,Mono-color,Common
Freestrider Lookout,G,R,18095,1.85,9490,1.92,52089,0.9209999999999999,0.544,9359,0.5660000000000001,12489,0.557,21848,0.56,30195,0.532,2.9,Mono-color,Rare
Full Steam Ahead,G,U,142938,6.48,18538,9.51,38212,0.344,0.536,5629,0.512,8792,0.5589999999999999,14421,0.541,23748,0.532,0.8,Mono-color,Uncommon
Giant Beaver,G,C,254821,4.1,56120,5.55,313772,0.9209999999999999,0.555,52595,0.55,72995,0.5589999999999999,125590,0.555,185919,0.555,0,Mono-color,Common
Gold Rush,G,U,138561,5.82,19647,8.54,58674,0.5,0.5329999999999999,9341,0.513,13394,0.537,22735,0.527,35810,0.536,-0.9,Mono-color,Uncommon
Goldvein Hydra,G,M,6188,1.31,4921,1.31,28589,0.9440000000000001,0.5589999999999999,5061,0.561,6897,0.612,11958,0.59,16431,0.5329999999999999,5.7,Mono-color,Mythic Rare
Hardbristle Bandit,G,C,216982,3.53,53708,4.58,294646,0.91,0.551,53354,0.588,66771,0.531,120125,0.556,173786,0.547,0.9,Mono-color,Common
Intrepid Stablemaster,G,U,72320,2.98,22633,3.59,129153,0.932,0.5589999999999999,23176,0.594,28859,0.547,52035,0.568,76920,0.5529999999999999,1.5,Mono-color,Uncommon
Map the Frontier,G,U,140836,6.35,16528,9.59,28380,0.292,0.511,4797,0.493,6796,0.509,11593,0.502,16725,0.517,-1.5,Mono-color,Uncommon
Ornery Tumblewagg,G,R,13397,1.4,10488,1.4,62335,0.9540000000000001,0.575,11155,0.647,14796,0.609,25951,0.625,35705,0.5379999999999999,8.8,Mono-color,Rare
Outcaster Greenblade,G,U,57923,2.54,28932,2.75,165234,0.922,0.575,29871,0.611,39526,0.614,69397,0.613,95350,0.547,6.6,Mono-color,Uncommon
Outcaster Trailblazer,G,R,15800,1.65,9835,1.66,55929,0.934,0.561,10018,0.605,13133,0.583,23151,0.593,32671,0.5379999999999999,5.5,Mono-color,Rare
Patient Naturalist,G,C,276358,4.54,65697,5.95,340160,0.85,0.56,60728,0.5670000000000001,78685,0.563,139413,0.565,200139,0.556,0.9,Mono-color,Common
Railway Brawler,G,M,5809,1.23,5056,1.22,30618,0.9640000000000001,0.58,5326,0.665,7517,0.6409999999999999,12843,0.6509999999999999,17462,0.525,12.6,Mono-color,Mythic Rare
Rambling Possum,G,U,90609,3.64,22323,4.68,121143,0.9009999999999999,0.551,21148,0.546,27622,0.546,48770,0.546,71470,0.5529999999999999,-0.7,Mono-color,Uncommon
Raucous Entertainer,G,U,99138,3.98,20507,5.32,104202,0.856,0.537,18313,0.526,23580,0.524,41893,0.525,62147,0.546,-2.1,Mono-color,Uncommon
Reach for the Sky,G,C,374479,7.5,47887,10.84,67796,0.235,0.545,10460,0.5379999999999999,15643,0.562,26103,0.5529999999999999,41600,0.541,1.2,Mono-color,Common
Rise of the Varmints,G,U,127296,5.4,21525,7.39,66867,0.521,0.5329999999999999,10587,0.503,15898,0.569,26485,0.542,40185,0.527,1.6,Mono-color,Uncommon
Smuggler's Surprise,G,R,30169,2.98,8021,3.45,37921,0.787,0.552,6287,0.55,8989,0.578,15276,0.5670000000000001,22535,0.541,2.6,Mono-color,Rare
Snakeskin Veil,G,C,298300,4.95,62554,6.7,319969,0.841,0.56,51234,0.564,74425,0.5760000000000001,125659,0.5710000000000001,193480,0.5529999999999999,1.8,Mono-color,Common
Spinewoods Armadillo,G,U,54645,2.37,25887,2.62,151453,0.9470000000000001,0.5710000000000001,26462,0.6,36214,0.61,62676,0.606,88099,0.545,6.1,Mono-color,Uncommon
Spinewoods Paladin,G,C,238534,3.86,61815,5,350687,0.9329999999999999,0.557,58654,0.556,84058,0.58,142712,0.57,207531,0.5489999999999999,2.1,Mono-color,Common
Stubborn Burrowfiend,G,U,77731,3.25,28870,3.76,163606,0.92,0.5660000000000001,29710,0.595,37343,0.565,67053,0.578,95381,0.557,2.1,Mono-color,Uncommon
Throw from the Saddle,G,C,201483,3.4,68560,4.06,394270,0.934,0.5670000000000001,65786,0.575,93267,0.599,159053,0.589,234062,0.551,3.8,Mono-color,Common
Trash the Town,G,U,85430,3.48,24820,4.25,135766,0.893,0.564,22157,0.56,31880,0.596,54037,0.581,81347,0.5529999999999999,2.9,Mono-color,Uncommon
Tumbleweed Rising,G,C,341942,6.07,53059,8.66,166349,0.518,0.5529999999999999,26976,0.5479999999999999,38449,0.563,65425,0.557,100612,0.55,0.7,Mono-color,Common
Voracious Varmint,G,C,323802,5.35,55383,7.64,259905,0.7759999999999999,0.55,45368,0.5479999999999999,59140,0.544,104508,0.546,154819,0.5529999999999999,-0.7,Mono-color,Common
Akul the Unrepentant,BR,R,33586,3.41,6746,4.1,25683,0.659,0.513,4112,0.52,6371,0.546,10483,0.536,15150,0.49700000000000005,3.9,Two-color,Rare
"Annie Flash, the Veteran",WRG,M,10134,2.2,4899,2.18,25524,0.86,0.5579999999999999,4157,0.5660000000000001,5985,0.609,10142,0.5920000000000001,15266,0.535,5.6,Three-plus-color,Mythic Rare
Annie Joins Up,WRG,R,53429,5.04,7651,7.3,16593,0.364,0.535,2683,0.527,3746,0.542,6429,0.536,10144,0.535,0.1,Three-plus-color,Rare
Assimilation Aegis,WU,M,11876,2.53,4708,2.62,21648,0.778,0.536,3647,0.5429999999999999,5722,0.584,9369,0.568,12199,0.51,5.8,Two-color,Mythic Rare
At Knifepoint,BR,U,111557,5.04,17847,6.72,63553,0.623,0.5,10676,0.49700000000000005,15899,0.507,26575,0.503,36811,0.49700000000000005,0.5,Two-color,Uncommon
Badlands Revival,BG,U,100005,4.24,26853,5.21,125545,0.78,0.546,19761,0.525,31600,0.5870000000000001,51361,0.563,73549,0.534,3,Two-color,Uncommon
Baron Bertram Graywater,WB,U,115947,5.06,19067,6.96,65105,0.579,0.526,10615,0.508,16589,0.557,27204,0.5379999999999999,37935,0.518,2,Two-color,Uncommon
"Bonny Pall, Clearcutter",UG,R,14966,1.64,11113,1.58,64088,0.925,0.574,10693,0.6409999999999999,17097,0.6759999999999999,27790,0.662,35394,0.5,16.3,Two-color,Rare
"Breeches, the Blastmaker",UR,R,48183,4.78,6949,6.68,14235,0.35700000000000004,0.485,2416,0.483,3852,0.502,6268,0.495,7955,0.47600000000000003,1.8,Two-color,Rare
"Bruse Tarl, Roving Rancher",WR,R,20060,2.14,10576,2.12,57589,0.89,0.562,10001,0.602,13672,0.613,23673,0.608,33764,0.53,7.8,Two-color,Rare
Cactusfolk Sureshot,RG,U,94251,4.03,19836,5.13,91069,0.7609999999999999,0.5539999999999999,15161,0.578,20739,0.569,35900,0.573,55090,0.541,3.2,Two-color,Uncommon
Congregation Gryff,WG,U,81315,3.48,24181,4.1,128769,0.862,0.5710000000000001,22471,0.5820000000000001,29741,0.575,52212,0.578,74653,0.564,1.4,Two-color,Uncommon
"Doc Aurlock, Grizzled Genius",UG,U,124788,5.67,18426,7.81,50261,0.47,0.517,8456,0.536,12638,0.518,21094,0.526,28819,0.511,1.5,Two-color,Uncommon
"Eriette, the Beguiler",WUB,R,61046,5.8,7433,8.95,4155,0.095,0.515,687,0.47700000000000004,1156,0.569,1843,0.535,2312,0.499,3.6,Three-plus-color,Rare
"Ertha Jo, Frontier Mentor",WR,U,107909,4.61,18870,6.19,72661,0.645,0.5429999999999999,11872,0.551,16585,0.5660000000000001,28457,0.56,44215,0.532,2.7,Two-color,Uncommon
Form a Posse,WR,U,124557,5.37,18778,7.57,60784,0.545,0.531,9488,0.511,14052,0.557,23540,0.539,37187,0.525,1.3,Two-color,Uncommon
"Ghired, Mirror of the Wilds",WRG,M,18784,3.77,3295,4.93,9025,0.467,0.532,1475,0.519,1993,0.5489999999999999,3468,0.536,5552,0.529,0.7,Three-plus-color,Mythic Rare
"The Gitrog, Ravenous Ride",BG,M,7081,1.52,5085,1.49,28641,0.9279999999999999,0.556,4823,0.575,7104,0.614,11927,0.599,16247,0.52,7.8,Two-color,Mythic Rare
Honest Rutstein,BG,U,72671,3.19,26302,3.61,136815,0.857,0.556,23167,0.555,33879,0.602,57046,0.583,78881,0.535,4.8,Two-color,Uncommon
Intimidation Campaign,UB,U,105646,4.67,23192,5.78,96497,0.71,0.523,16386,0.502,26861,0.5670000000000001,43247,0.542,52480,0.505,3.8,Two-color,Uncommon
"Jem Lightfoote, Sky Explorer",WU,U,110467,4.9,17006,6.69,56964,0.583,0.503,9435,0.495,15541,0.529,24976,0.516,32015,0.493,2.3,Two-color,Uncommon
"Jolene, Plundering Pugilist",RG,U,97774,4.17,19351,5.4,85877,0.737,0.5479999999999999,14805,0.564,19505,0.5589999999999999,34310,0.561,51541,0.539,2.3,Two-color,Uncommon
"Kambal, Profiteering Mayor",WB,R,34872,3.53,7678,4.27,30488,0.6759999999999999,0.528,5131,0.5529999999999999,7609,0.557,12740,0.555,17734,0.509,4.6,Two-color,Rare
Kellan Joins Up,WUG,R,61665,5.97,7408,9.23,2253,0.052000000000000005,0.452,359,NA,581,0.43700000000000006,940,0.413,1298,0.479,-6.6,Three-plus-color,Rare
"Kellan, the Kid",WUG,M,14890,3.14,3813,3.56,13557,0.617,0.518,2327,0.54,3438,0.5589999999999999,5765,0.551,7750,0.491,6.1,Three-plus-color,Mythic Rare
"Kraum, Violent Cacophony",UR,U,110184,4.93,18101,6.52,66007,0.627,0.513,10973,0.523,18839,0.55,29812,0.54,36172,0.49,5,Two-color,Uncommon
Laughing Jasper Flint,BR,R,17116,1.84,10164,1.81,56217,0.917,0.5429999999999999,9688,0.58,14297,0.586,23985,0.583,31888,0.511,7.2,Two-color,Rare
"Lazav, Familiar Stranger",UB,U,103461,4.47,21365,5.72,90798,0.73,0.52,15470,0.517,25423,0.5539999999999999,40893,0.54,49709,0.502,3.8,Two-color,Uncommon
"Lilah, Undefeated Slickshot",UR,R,45551,4.54,7113,6.15,19021,0.46299999999999997,0.503,3262,0.518,5426,0.5329999999999999,8688,0.527,10295,0.48200000000000004,4.5,Two-color,Rare
Make Your Own Luck,UG,U,113731,4.83,24549,6.32,98154,0.6729999999999999,0.536,15954,0.531,25475,0.5660000000000001,41429,0.552,56395,0.523,2.9,Two-color,Uncommon
"Malcolm, the Eyes",UR,R,37464,3.87,7577,4.65,28057,0.635,0.519,4855,0.5579999999999999,7896,0.561,12751,0.56,15228,0.483,7.7,Two-color,Rare
"Marchesa, Dealer of Death",UBR,R,34630,3.51,8967,3.95,34845,0.672,0.508,5730,0.508,9739,0.5489999999999999,15469,0.534,19279,0.486,4.8,Three-plus-color,Rare
"Miriam, Herd Whisperer",WG,U,82473,3.64,24100,4.15,123043,0.826,0.5720000000000001,21489,0.603,27619,0.575,49108,0.5870000000000001,73878,0.562,2.5,Two-color,Uncommon
"Obeka, Splitter of Seconds",UBR,R,61555,6.02,7005,9.43,1014,0.025,0.395,159,NA,256,NA,415,NA,600,0.415,NA,Three-plus-color,Rare
"Oko, the Ringleader",UG,M,6429,1.36,4785,1.34,25708,0.905,0.5429999999999999,4308,0.573,6627,0.595,10935,0.586,14629,0.509,7.7,Two-color,Mythic Rare
Pillage the Bog,BG,R,50940,4.71,8855,6.54,26446,0.508,0.535,4418,0.508,6574,0.5760000000000001,10992,0.5489999999999999,15383,0.526,2.3,Two-color,Rare
Rakdos Joins Up,BR,R,37582,3.71,6644,4.79,22781,0.589,0.519,3607,0.498,5570,0.556,9177,0.534,13507,0.507,2.6,Two-color,Rare
"Rakdos, the Muscle",BR,M,7404,1.63,4906,1.58,27699,0.9159999999999999,0.562,4667,0.625,7248,0.649,11915,0.64,15466,0.49700000000000005,14.3,Two-color,Mythic Rare
Riku of Many Paths,URG,R,56029,5.38,7456,8,6554,0.15,0.49,1085,0.465,1800,0.512,2885,0.495,3658,0.486,0.9,Three-plus-color,Rare
"Roxanne, Starfall Savant",RG,R,15371,1.65,10676,1.62,61863,0.9279999999999999,0.574,10545,0.636,14943,0.638,25488,0.637,35897,0.528,11,Two-color,Rare
Ruthless Lawbringer,WB,U,109902,4.69,24279,5.91,103753,0.71,0.555,17199,0.5589999999999999,26224,0.598,43423,0.5820000000000001,60130,0.536,4.6,Two-color,Uncommon
"Satoru, the Infiltrator",UB,R,38864,3.89,8035,4.84,26801,0.5760000000000001,0.511,4605,0.522,7379,0.546,11984,0.537,14754,0.489,4.8,Two-color,Rare
"Selvala, Eager Trailblazer",WG,M,6919,1.47,5109,1.46,29007,0.924,0.564,4958,0.637,7032,0.61,11990,0.621,16963,0.523,9.8,Two-color,Mythic Rare
Seraphic Steed,WG,R,18896,2.06,10287,2.05,57416,0.897,0.5760000000000001,10172,0.66,13286,0.603,23458,0.628,33117,0.5379999999999999,9,Two-color,Rare
Slick Sequence,UR,U,126837,5.76,18424,7.94,58791,0.545,0.517,9875,0.523,16885,0.57,26760,0.552,31834,0.486,6.7,Two-color,Uncommon
"Taii Wakeen, Perfect Shot",WR,R,46532,4.55,7385,6.25,19760,0.45399999999999996,0.526,3453,0.537,4313,0.52,7766,0.527,12007,0.526,0.2,Two-color,Rare
"Vial Smasher, Gleeful Grenadier",BR,U,101356,4.54,17109,5.93,69973,0.701,0.519,11981,0.557,16820,0.528,28801,0.54,41123,0.504,3.6,Two-color,Uncommon
Vraska Joins Up,BG,R,57885,5.62,6624,8.82,3151,0.081,0.45799999999999996,462,NA,746,0.46399999999999997,1208,0.436,1932,0.47,-3.4,Two-color,Rare
"Vraska, the Silencer",BG,M,10774,2.26,4119,2.38,19087,0.7909999999999999,0.527,3270,0.528,4729,0.5579999999999999,7999,0.546,11028,0.513,3.3,Two-color,Mythic Rare
Wrangler of the Damned,WU,U,115190,5.11,18270,6.95,60479,0.5770000000000001,0.499,9795,0.486,16511,0.521,26306,0.508,34093,0.49200000000000005,1.6,Two-color,Uncommon
"Wylie Duke, Atiin Hero",WG,R,23066,2.41,9901,2.46,51459,0.853,0.565,9037,0.591,11753,0.601,20790,0.597,30630,0.5429999999999999,5.4,Two-color,Rare
Bandit's Haul,Colorless/Other,U,129911,5.44,22108,7.34,82856,0.632,0.53,15147,0.5329999999999999,21464,0.541,36611,0.537,46122,0.523,1.4,Colorless/Other,Uncommon
Boom Box,Colorless/Other,U,157524,7.71,17591,11.4,9248,0.08900000000000001,0.511,1469,0.478,2385,0.528,3854,0.509,5372,0.513,-0.4,Colorless/Other,Uncommon
Gold Pan,Colorless/Other,C,380819,7.59,46768,11,60891,0.218,0.525,11002,0.535,13725,0.514,24727,0.523,35979,0.526,-0.3,Colorless/Other,Common
Lavaspur Boots,Colorless/Other,U,152968,7.32,15203,11.17,10933,0.121,0.5329999999999999,1802,0.536,2412,0.507,4214,0.519,6702,0.541,-2.2,Colorless/Other,Uncommon
Luxurious Locomotive,Colorless/Other,U,153700,7.21,17438,10.76,18406,0.177,0.508,2832,0.48,4475,0.504,7307,0.495,11106,0.517,-2.3,Colorless/Other,Uncommon
Mobile Homestead,Colorless/Other,U,118895,4.77,23457,6.42,104882,0.738,0.5539999999999999,19121,0.586,23610,0.5379999999999999,42731,0.5589999999999999,62106,0.551,0.9,Colorless/Other,Uncommon
Oasis Gardener,Colorless/Other,C,354784,6.18,50857,8.99,171480,0.5670000000000001,0.532,30948,0.531,41731,0.544,72679,0.539,98417,0.526,1.2,Colorless/Other,Common
Redrock Sentinel,Colorless/Other,U,150233,6.77,23193,9.53,65552,0.473,0.539,11424,0.523,16533,0.5589999999999999,27957,0.544,37479,0.534,1,Colorless/Other,Uncommon
Silver Deputy,Colorless/Other,C,368473,6.85,46880,9.99,114152,0.414,0.512,21639,0.49200000000000005,26618,0.506,48257,0.499,65653,0.521,-2.2,Colorless/Other,Common
Sterling Hound,Colorless/Other,C,383024,7.63,54473,10.78,104287,0.321,0.534,18563,0.524,25113,0.541,43676,0.534,60445,0.534,-0.1,Colorless/Other,Common
Tomb Trawler,Colorless/Other,U,160843,8.35,20148,11.8,11059,0.09300000000000001,0.512,1883,0.46,2980,0.517,4863,0.495,6146,0.524,-2.9,Colorless/Other,Uncommon
Abraded Bluffs,Colorless/Other,C,176772,5.05,33251,7.04,155147,0.777,0.544,27832,0.562,34840,0.527,62672,0.5429999999999999,88906,0.541,0.2,Colorless/Other,Common
Arid Archway,Colorless/Other,U,144359,6.16,22924,8.68,85525,0.627,0.536,14243,0.501,19739,0.52,33982,0.512,49092,0.547,-3.5,Colorless/Other,Uncommon
Bristling Backwoods,Colorless/Other,C,165608,4.63,34202,6.4,171724,0.83,0.55,31545,0.575,37432,0.532,68977,0.551,96957,0.544,0.8,Colorless/Other,Common
Conduit Pylons,Colorless/Other,C,321231,5.08,61805,7.17,339925,0.909,0.551,62465,0.5529999999999999,79052,0.561,141517,0.557,187520,0.541,1.6,Colorless/Other,Common
Creosote Heath,Colorless/Other,C,159690,4.4,36767,5.97,199080,0.8909999999999999,0.5589999999999999,37046,0.584,42911,0.5379999999999999,79957,0.5589999999999999,112573,0.555,0.4,Colorless/Other,Common
Eroded Canyon,Colorless/Other,C,176869,5.19,33279,7.13,150543,0.767,0.529,27430,0.545,38524,0.541,65954,0.542,81734,0.514,2.9,Colorless/Other,Common
Festering Gulch,Colorless/Other,C,158838,4.45,39885,5.91,210879,0.877,0.552,38668,0.573,48540,0.5539999999999999,87208,0.562,115644,0.537,2.5,Colorless/Other,Common
Forlorn Flats,Colorless/Other,C,173535,4.9,37911,6.69,187257,0.8220000000000001,0.547,34245,0.5660000000000001,44134,0.5489999999999999,78379,0.556,104413,0.536,2,Colorless/Other,Common
Jagged Barrens,Colorless/Other,C,162632,4.61,33951,6.26,170459,0.8420000000000001,0.5379999999999999,31408,0.5579999999999999,41552,0.542,72960,0.5489999999999999,94283,0.525,2.4,Colorless/Other,Common
Lonely Arroyo,Colorless/Other,C,180671,5.26,35144,7.29,155624,0.746,0.536,28111,0.5489999999999999,38415,0.54,66526,0.5429999999999999,85417,0.525,1.8,Colorless/Other,Common
Lush Oasis,Colorless/Other,C,168011,4.79,37092,6.48,181965,0.815,0.547,33404,0.5660000000000001,43576,0.55,76980,0.557,98616,0.5329999999999999,2.4,Colorless/Other,Common
Mirage Mesa,Colorless/Other,C,284689,4.36,62331,6.05,355219,0.9490000000000001,0.546,65918,0.564,82462,0.528,148380,0.544,201711,0.546,-0.3,Colorless/Other,Common
Sandstorm Verge,Colorless/Other,U,153740,7.02,19098,10.3,49176,0.429,0.544,7964,0.54,11216,0.5479999999999999,19180,0.545,28929,0.54,0.5,Colorless/Other,Uncommon
Soured Springs,Colorless/Other,C,164645,4.72,37535,6.26,187893,0.841,0.54,34697,0.564,48132,0.555,82829,0.5589999999999999,100969,0.52,3.9,Colorless/Other,Common
Jace Reawakened,U,M,10329,2.14,3372,2.22,14541,0.765,0.494,2468,0.48200000000000004,4042,0.523,6510,0.507,7981,0.483,2.5,Mono-color,Mythic Rare
Bucolic Ranch,Colorless/Other,U,145632,6.21,23283,8.74,84212,0.594,0.5670000000000001,14524,0.5670000000000001,18054,0.5539999999999999,32578,0.56,49009,0.568,-0.8,Colorless/Other,Uncommon
Blooming Marsh,Colorless/Other,R,44765,3.81,8854,5.29,38331,0.733,0.5329999999999999,7100,0.555,8844,0.521,15944,0.536,22272,0.531,0.6,Colorless/Other,Rare
Botanical Sanctum,Colorless/Other,R,46735,4.05,8220,5.72,30863,0.642,0.527,5775,0.547,7554,0.519,13329,0.532,17302,0.523,0.9,Colorless/Other,Rare
Concealed Courtyard,Colorless/Other,R,47549,4.08,7982,5.89,30579,0.645,0.537,5702,0.56,7045,0.523,12747,0.539,17821,0.535,0.4,Colorless/Other,Rare
Inspiring Vantage,Colorless/Other,R,47483,4.1,7388,5.84,27786,0.635,0.537,5235,0.5379999999999999,6018,0.514,11253,0.525,16512,0.544,-1.9,Colorless/Other,Rare
Spirebluff Canal,Colorless/Other,R,48549,4.24,7231,6.11,24811,0.594,0.504,4517,0.535,6334,0.506,10851,0.518,13890,0.49200000000000005,2.6,Colorless/Other,Rare
Stoneforge Mystic,W,M,3888,3.67,638,4.85,1142,0.303,0.5329999999999999,184,NA,247,NA,431,NA,710,0.503,NA,Mono-color,Mythic Rare
Brazen Borrower,U,M,2074,2.1,902,2.18,4530,0.851,0.536,849,0.5760000000000001,1237,0.59,2086,0.584,2415,0.49200000000000005,9.2,Mono-color,Mythic Rare
Desertion,U,M,2778,2.72,852,3.05,4273,0.8340000000000001,0.539,720,0.5529999999999999,1195,0.5870000000000001,1915,0.574,2323,0.506,6.8,Mono-color,Mythic Rare
Morbid Opportunist,B,M,1866,1.88,939,1.97,5210,0.938,0.536,877,0.5710000000000001,1309,0.568,2186,0.569,3011,0.512,5.7,Mono-color,Mythic Rare
Port Razer,R,M,2919,2.91,435,NA,1571,0.623,0.502,239,NA,354,NA,593,0.49200000000000005,978,0.506,-1.4,Mono-color,Mythic Rare
Scapeshift,G,M,5917,5.55,697,8.57,89,0.021,NA,14,NA,30,NA,44,NA,45,NA,NA,Mono-color,Mythic Rare
Mystic Snake,UG,M,3804,3.55,787,4.48,2782,0.591,0.524,465,NA,719,0.569,1184,0.556,1571,0.498,5.7,Two-color,Mythic Rare
Notion Thief,UB,M,3823,3.55,701,4.67,1970,0.511,0.452,345,NA,538,0.494,883,0.46,1076,0.444,1.6,Two-color,Mythic Rare
Desert,Colorless/Other,M,3618,3.3,664,4.13,3131,0.802,0.534,530,0.551,727,0.575,1257,0.565,1783,0.511,5.4,Colorless/Other,Mythic Rare
Prismatic Vista,Colorless/Other,M,2730,2.48,846,2.94,4891,0.9740000000000001,0.534,926,0.525,1138,0.525,2064,0.525,2814,0.54,-1.5,Colorless/Other,Mythic Rare
Collector's Cage,W,M,6164,1.75,4014,1.76,23278,0.932,0.5770000000000001,4119,0.616,5953,0.628,10072,0.623,13165,0.541,8.3,Mono-color,Mythic Rare
Grand Abolisher,W,M,14529,3.73,2026,5.22,6127,0.516,0.521,1013,0.525,1391,0.52,2404,0.522,3725,0.521,0.1,Mono-color,Mythic Rare
Oltec Matterweaver,W,M,6184,1.79,3261,1.85,18160,0.917,0.5529999999999999,3186,0.5920000000000001,4455,0.562,7641,0.574,10514,0.537,3.7,Mono-color,Mythic Rare
Rest in Peace,W,M,23542,5.97,2807,9.29,69,0.004,NA,7,NA,13,NA,20,NA,49,NA,NA,Mono-color,Mythic Rare
Esoteric Duplicator,U,M,20456,5.21,2538,7.97,1216,0.08199999999999999,0.46,211,NA,335,NA,546,0.449,664,0.46799999999999997,-2,Mono-color,Mythic Rare
Simulacrum Synthesizer,U,M,17912,4.77,2138,7.27,961,0.076,0.46399999999999997,189,NA,276,NA,465,NA,491,NA,NA,Mono-color,Mythic Rare
Worldwalker Helm,U,M,21189,5.44,2488,8.49,542,0.037000000000000005,0.452,100,NA,133,NA,233,NA,304,NA,NA,Mono-color,Mythic Rare
Greed's Gambit,B,M,19492,4.95,2432,7.44,2567,0.17800000000000002,0.509,424,NA,665,0.52,1089,0.494,1473,0.518,-2.4,Mono-color,Mythic Rare
Harvester of Misery,B,M,5773,1.64,3689,1.67,20762,0.9279999999999999,0.557,3594,0.5770000000000001,5460,0.626,9054,0.607,11549,0.516,9.1,Mono-color,Mythic Rare
Hostile Investigator,B,M,5880,1.65,3970,1.69,23223,0.9440000000000001,0.57,4135,0.626,5936,0.621,10071,0.623,12964,0.529,9.4,Mono-color,Mythic Rare
Generous Plunderer,R,M,9228,2.46,2703,2.75,14036,0.85,0.551,2552,0.622,3253,0.5589999999999999,5805,0.5870000000000001,8227,0.525,6.1,Mono-color,Mythic Rare
Legion Extruder,R,M,11117,3,2407,3.54,9761,0.688,0.529,1655,0.516,2253,0.565,3908,0.544,5838,0.518,2.6,Mono-color,Mythic Rare
Memory Vessel,R,M,23191,5.91,2722,9.04,207,0.013000000000000001,NA,38,NA,43,NA,81,NA,126,NA,NA,Mono-color,Mythic Rare
Molten Duplication,R,M,18679,4.88,1903,7.76,1307,0.11800000000000001,0.474,187,NA,320,NA,507,0.462,798,0.48,-1.8,Mono-color,Mythic Rare
Territory Forge,R,M,22282,5.84,2560,9.04,239,0.016,NA,41,NA,59,NA,100,NA,139,NA,NA,Mono-color,Mythic Rare
Ancient Cornucopia,G,M,14046,3.66,2330,4.93,7656,0.563,0.507,1376,0.505,1839,0.504,3215,0.504,4421,0.507,-0.3,Mono-color,Mythic Rare
Bristlebud Farmer,G,M,5154,1.45,3890,1.45,22983,0.946,0.5760000000000001,3984,0.628,5648,0.62,9632,0.623,13215,0.54,8.3,Mono-color,Mythic Rare
Omenpath Journey,G,M,18328,4.74,2433,7.05,3638,0.254,0.498,614,0.47700000000000004,885,0.52,1499,0.502,2127,0.494,0.8,Mono-color,Mythic Rare
Sandstorm Salvager,G,M,5338,1.53,3738,1.56,21687,0.938,0.5710000000000001,3937,0.614,5115,0.601,9052,0.607,12553,0.544,6.3,Mono-color,Mythic Rare
Vaultborn Tyrant,G,M,4727,1.36,3691,1.36,22036,0.951,0.579,3574,0.615,5500,0.6579999999999999,9074,0.6409999999999999,12679,0.531,11,Mono-color,Mythic Rare
"Loot, the Key to Everything",URG,M,16744,4.4,2563,6.11,4384,0.294,0.508,669,0.496,1160,0.555,1829,0.534,2543,0.488,4.6,Three-plus-color,Mythic Rare
Pest Control,WB,M,21867,5.48,2609,8.56,402,0.026000000000000002,NA,72,NA,96,NA,168,NA,234,NA,NA,Two-color,Mythic Rare
Lost Jitte,Colorless/Other,M,6408,1.81,2600,1.84,14012,0.91,0.531,2508,0.56,3358,0.544,5866,0.551,8117,0.516,3.5,Colorless/Other,Mythic Rare
Lotus Ring,Colorless/Other,M,10291,2.85,2474,3.28,11515,0.787,0.539,1970,0.561,2799,0.5710000000000001,4769,0.5670000000000001,6710,0.518,4.9,Colorless/Other,Mythic Rare
Nexus of Becoming,Colorless/Other,M,7140,2.06,3793,2.08,21542,0.9390000000000001,0.552,3672,0.5670000000000001,5506,0.584,9178,0.5770000000000001,12295,0.532,4.5,Colorless/Other,Mythic Rare
Sword of Wealth and Power,Colorless/Other,M,5342,1.54,2681,1.57,14557,0.938,0.514,2481,0.513,3698,0.524,6179,0.52,8352,0.508,1.2,Colorless/Other,Mythic Rare
Torpor Orb,Colorless/Other,M,22961,5.84,2644,9.15,89,0.006,NA,21,NA,24,NA,45,NA,44,NA,NA,Colorless/Other,Mythic Rare
Transmutation Font,Colorless/Other,M,17480,4.41,2410,6.35,5177,0.374,0.496,867,0.451,1343,0.508,2210,0.486,2963,0.503,-1.8,Colorless/Other,Mythic Rare
Fomori Vault,Colorless/Other,M,22160,5.61,2636,8.72,1225,0.078,0.49700000000000005,198,NA,286,NA,484,NA,737,0.499,NA,Colorless/Other,Mythic Rare
Tarnation Vista,Colorless/Other,M,12696,3.06,2714,4.04,14542,0.909,0.528,2696,0.5489999999999999,3611,0.511,6307,0.527,8208,0.529,-0.2,Colorless/Other,Mythic Rare
Fell the Mighty,W,R,17853,3.04,4561,3.55,21432,0.79,0.5379999999999999,3417,0.526,5199,0.575,8616,0.555,12780,0.525,3,Mono-color,Rare
